date,close
2021-11-01,405.18
2021-11-02,407.34
2021-11-03,407.04
2021-11-04,412.21
2021-11-05,415.10
2021-11-08,413.62
2021-11-09,410.68
2021-11-10,413.83
2021-11-11,414.12
2021-11-12,416.90
2021-11-15,418.36
2021-11-16,423.20
2021-11-17,423.14
2021-11-18,421.90
2021-11-19,424.19
2021-11-22,428.88
2021-11-23,422.76
2021-11-24,427.17
2021-11-25,428.18
2021-11-26,414.38
2021-11-29,420.41
2021-11-30,414.89
2021-12-01,418.51
2021-12-02,410.52
2021-12-03,409.99
2021-12-06,414.49
2021-12-07,425.88
2021-12-08,421.26
2021-12-09,424.15
2021-12-10,422.31
2021-12-13,422.67
2021-12-14,418.21
2021-12-15,418.34
2021-12-16,424.39
2021-12-17,420.65
2021-12-20,409.71
2021-12-21,417.17
2021-12-22,422.08
2021-12-23,426.78
2021-12-27,429.81
2021-12-28,432.39
2021-12-29,430.41
2021-12-30,432.91
2022-01-03,431.30
2022-01-04,432.86
2022-01-05,431.78
2022-01-06,424.72
2022-01-07,421.32
2022-01-10,415.66
2022-01-11,420.88
2022-01-12,422.39
2022-01-13,420.71
2022-01-14,414.87
2022-01-17,417.92
2022-01-18,413.14
2022-01-19,411.02
2022-01-20,413.98
2022-01-21,403.65
2022-01-24,387.35
2022-01-25,391.69
2022-01-26,400.67
2022-01-27,403.47
2022-01-28,399.35
2022-01-31,407.19
2022-02-01,410.38
2022-02-02,411.69
2022-02-03,404.15
2022-02-04,399.94
2022-02-07,401.65
2022-02-08,403.10
2022-02-09,408.78
2022-02-10,405.37
2022-02-11,402.52
2022-02-14,398.77
2022-02-15,401.78
2022-02-16,399.36
2022-02-17,397.87
2022-02-18,393.08
2022-02-21,388.67
2022-02-22,390.12
2022-02-23,386.47
2022-02-24,383.81
2022-02-25,396.73
2022-02-28,399.22
2022-03-01,397.33
2022-03-02,403.31
2022-03-03,403.88
2022-03-04,402.56
2022-03-07,401.48
2022-03-08,391.34
2022-03-09,394.05
2022-03-10,391.68
2022-03-11,397.15
2022-03-14,391.20
2022-03-15,396.61
2022-03-16,402.83
2022-03-17,403.35
2022-03-18,410.02
2022-03-21,412.99
2022-03-22,418.41
2022-03-23,417.62
2022-03-24,417.68
2022-03-25,420.94
2022-03-28,423.13
2022-03-29,425.16
2022-03-30,423.12
2022-03-31,423.41
2022-04-01,420.10
2022-04-04,425.27
2022-04-05,427.75
2022-04-06,419.40
2022-04-07,418.81
2022-04-08,424.72
2022-04-11,417.66
2022-04-12,420.80
2022-04-13,417.79
2022-04-14,420.52
2022-04-19,422.22
2022-04-20,421.84
2022-04-21,422.60
2022-04-22,412.08
2022-04-25,403.90
2022-04-26,405.20
2022-04-27,409.78
2022-04-28,411.44
2022-04-29,410.74
2022-05-02,401.67
2022-05-03,408.17
2022-05-04,402.95
2022-05-05,405.54
2022-05-06,400.07
2022-05-09,390.29
2022-05-10,387.19
2022-05-11,391.40
2022-05-12,386.95
2022-05-13,396.38
2022-05-16,394.53
2022-05-17,395.58
2022-05-18,388.66
2022-05-19,378.68
2022-05-20,376.70
2022-05-23,381.52
2022-05-24,371.62
2022-05-25,380.32
2022-05-26,386.80
2022-05-27,395.49
2022-05-30,398.20
2022-05-31,394.45
2022-06-01,394.16
2022-06-02,393.96
2022-06-03,393.47
2022-06-06,397.04
2022-06-07,395.33
2022-06-08,397.26
2022-06-09,394.03
2022-06-10,381.16
2022-06-13,372.05
2022-06-14,369.21
2022-06-15,372.00
2022-06-16,359.30
2022-06-17,360.70
2022-06-20,361.78
2022-06-21,366.52
2022-06-22,367.26
2022-06-23,368.48
2022-06-24,377.89
2022-06-27,379.18
2022-06-28,377.45
2022-06-29,374.83
2022-06-30,371.27
2022-07-01,373.58
2022-07-04,375.58
2022-07-05,376.36
2022-07-06,385.43
2022-07-07,392.95
2022-07-08,395.57
2022-07-11,393.38
2022-07-12,394.29
2022-07-13,387.13
2022-07-14,384.91
2022-07-15,392.69
2022-07-18,393.37
2022-07-19,392.67
2022-07-20,399.54
2022-07-21,399.88
2022-07-22,399.67
2022-07-25,399.55
2022-07-26,398.60
2022-07-27,403.36
2022-07-28,409.08
2022-07-29,413.10
2022-08-01,413.76
2022-08-02,414.50
2022-08-03,419.32
2022-08-04,417.12
2022-08-05,417.20
2022-08-08,419.09
2022-08-09,415.13
2022-08-10,417.93
2022-08-11,421.21
2022-08-12,425.89
2022-08-16,435.00
2022-08-17,432.21
2022-08-18,435.00
2022-08-19,433.10
2022-08-22,430.69
2022-08-23,426.09
2022-08-24,428.31
2022-08-25,429.77
2022-08-26,424.02
2022-08-29,415.35
2022-08-30,410.63
2022-08-31,407.10
2022-09-01,406.52
2022-09-02,411.75
2022-09-05,408.28
2022-09-06,408.76
2022-09-07,408.07
2022-09-08,414.24
2022-09-09,416.20
2022-09-12,418.06
2022-09-13,418.06
2022-09-14,418.06
2022-09-15,418.06
2022-09-16,418.06
2022-09-19,418.06
2022-09-20,418.06
2022-09-21,404.20
2022-09-22,394.45
2022-09-23,391.40
2022-09-26,393.71
2022-09-27,393.06
2022-09-28,393.98
2022-09-29,383.88
2022-09-30,385.86
2022-10-03,383.73
2022-10-04,391.58
2022-10-05,391.12
2022-10-06,395.71
2022-10-07,386.67
2022-10-10,384.64
2022-10-11,382.38
2022-10-12,381.76
2022-10-13,382.21
2022-10-14,383.43
2022-10-17,386.50
2022-10-18,388.09
2022-10-19,390.35
2022-10-20,390.15
2022-10-21,389.38
2022-10-24,394.29
2022-10-25,398.02
2022-10-26,397.35
2022-10-27,395.68
2022-10-28,400.64
2022-10-31,404.34
2022-11-01,403.13
2022-11-02,400.41
2022-11-03,395.49
2022-11-04,388.80
2022-11-07,390.95
2022-11-08,394.70
2022-11-09,390.06
2022-11-10,398.07
2022-11-11,395.61
2022-11-14,397.81
2022-11-15,400.00
2022-11-16,394.15
2022-11-17,392.18
2022-11-18,394.59
2022-11-21,397.40
2022-11-22,399.94
2022-11-23,400.94
2022-11-24,400.82
2022-11-25,400.26
2022-11-28,397.03
2022-11-29,394.03
2022-11-30,396.30
2022-12-01,400.88
2022-12-02,398.80
2022-12-05,395.56
2022-12-06,388.96
2022-12-07,387.11
2022-12-08,387.86
2022-12-09,389.19
2022-12-12,387.85
2022-12-13,393.86
2022-12-14,392.74
2022-12-15,378.28
2022-12-16,375.28
2022-12-19,373.04
2022-12-20,371.06
2022-12-21,378.59
2022-12-22,372.12
2022-12-23,372.72
2022-12-27,372.45
2022-12-28,370.65
2022-12-29,373.38
2022-12-30,369.81
2023-01-02,379.10
2023-01-03,373.73
2023-01-04,376.90
2023-01-05,374.34
2023-01-06,377.48
2023-01-09,379.88
2023-01-10,375.25
2023-01-11,379.19
2023-01-12,379.66
2023-01-13,380.10
2023-01-16,382.32
2023-01-17,382.82
2023-01-18,379.14
2023-01-19,373.04
2023-01-20,375.96
2023-01-23,383.27
2023-01-24,381.93
2023-01-25,377.92
2023-01-26,383.75
2023-01-27,387.89
2023-01-30,385.47
2023-01-31,385.47
2023-02-01,385.49
2023-02-02,396.64
2023-02-03,399.44
2023-02-06,397.67
2023-02-07,398.70
2023-02-08,397.88
2023-02-09,397.64
2023-02-10,395.67
2023-02-13,398.75
2023-02-14,396.15
2023-02-15,400.62
2023-02-16,399.92
2023-02-17,393.99
2023-02-20,394.66
2023-02-21,389.98
2023-02-22,390.19
2023-02-23,390.22
2023-02-24,388.92
2023-02-27,390.35
2023-02-28,389.18
2023-03-01,383.85
2023-03-02,385.72
2023-03-03,392.81
2023-03-06,395.35
2023-03-07,393.00
2023-03-08,391.83
2023-03-09,392.02
2023-03-10,382.72
2023-03-13,374.19
2023-03-14,379.95
2023-03-15,379.06
2023-03-16,384.75
2023-03-17,381.73
2023-03-20,380.91
2023-03-21,383.97
2023-03-22,384.50
2023-03-23,380.52
2023-03-24,380.55
2023-03-27,383.40
2023-03-28,380.29
2023-03-29,384.21
2023-03-30,385.46
2023-03-31,390.19
2023-04-03,391.79
2023-04-04,388.84
2023-04-05,388.59
2023-04-06,388.51
2023-04-11,391.30
2023-04-12,388.83
2023-04-13,387.16
2023-04-14,390.67
2023-04-17,392.99
2023-04-18,393.23
2023-04-19,392.87
2023-04-20,391.26
2023-04-21,390.51
2023-04-24,388.86
2023-04-25,388.34
2023-04-26,384.10
2023-04-27,386.28
2023-04-28,390.87
2023-05-02,387.46
2023-05-03,387.21
2023-05-04,383.69
2023-05-05,388.82
2023-05-08,389.72
2023-05-09,391.63
2023-05-10,391.34
2023-05-11,393.55
2023-05-12,394.31
2023-05-15,394.89
2023-05-16,394.90
2023-05-17,396.47
2023-05-18,403.54
2023-05-19,402.97
2023-05-22,404.42
2023-05-23,403.97
2023-05-24,397.97
2023-05-25,401.29
2023-05-26,407.57
2023-05-29,409.81
2023-05-30,408.55
2023-05-31,406.92
2023-06-01,406.92
2023-06-02,415.43
2023-06-05,417.32
2023-06-06,416.66
2023-06-07,416.46
2023-06-08,413.92
2023-06-09,416.41
2023-06-12,417.53
2023-06-13,421.38
2023-06-14,421.22
2023-06-15,419.84
2023-06-16,421.75
2023-06-19,419.49
2023-06-20,418.15
2023-06-21,415.46
2023-06-22,415.43
2023-06-23,416.07
2023-06-26,414.56
2023-06-27,414.06
2023-06-28,418.18
2023-06-29,420.31
2023-06-30,423.82
2023-07-03,425.08
2023-07-04,425.92
2023-07-05,426.60
2023-07-06,421.14
2023-07-07,420.16
2023-07-10,417.89
2023-07-11,418.96
2023-07-12,419.84
2023-07-13,418.50
2023-07-14,419.20
2023-07-17,419.08
2023-07-18,421.08
2023-07-19,425.63
2023-07-20,426.07
2023-07-21,426.86
2023-07-24,428.51
2023-07-25,430.75
2023-07-26,429.18
2023-07-27,435.26
2023-07-28,433.59
2023-07-31,433.29
2023-08-01,434.93
2023-08-02,431.26
2023-08-03,429.06
2023-08-04,427.51
2023-08-07,426.29
2023-08-08,425.75
2023-08-09,425.03
2023-08-10,426.20
2023-08-11,424.07
2023-08-14,427.86
2023-08-16,425.10
2023-08-17,422.23
2023-08-18,418.50
2023-08-21,418.88
2023-08-22,423.29
2023-08-23,425.86
2023-08-24,424.58
2023-08-25,424.37
2023-08-28,427.03
2023-08-29,430.94
2023-08-30,431.30
2023-08-31,435.23
2023-09-01,436.62
2023-09-04,436.55
2023-09-05,439.12
2023-09-06,434.97
2023-09-07,434.61
2023-09-08,435.93
2023-09-11,435.02
2023-09-12,435.30
2023-09-13,435.58
2023-09-14,440.45
2023-09-15,437.29
2023-09-18,435.98
2023-09-19,433.06
2023-09-20,433.87
2023-09-21,427.21
2023-09-22,426.89
2023-09-25,427.15
2023-09-26,423.60
2023-09-27,424.75
2023-09-28,425.44
2023-09-29,426.09
2023-10-02,427.34
2023-10-03,422.50
2023-10-04,421.66
2023-10-05,420.23
2023-10-06,422.72
2023-10-09,426.47
2023-10-10,431.73
2023-10-11,429.13
2023-10-12,433.66
2023-10-13,431.63
2023-10-16,433.99
2023-10-17,432.47
2023-10-18,431.10
2023-10-19,426.11
2023-10-20,418.28
2023-10-23,416.25
2023-10-24,419.01
2023-10-25,416.51
2023-10-26,412.98
2023-10-27,409.03
2023-10-30,409.24
2023-10-31,413.24
2023-11-01,418.27
2023-11-02,423.96
2023-11-03,425.57
2023-11-06,425.03
2023-11-07,429.12
2023-11-08,427.47
2023-11-09,428.67
2023-11-10,429.06
2023-11-13,431.77
2023-11-14,434.11
2023-11-15,435.28
2023-11-16,433.22
2023-11-17,433.49
2023-11-20,433.95
2023-11-21,434.24
2023-11-22,438.79
2023-11-23,437.93
2023-11-24,436.57
2023-11-27,436.19
2023-11-28,435.24
2023-11-29,435.21
2023-11-30,436.77
2023-12-01,441.40
2023-12-04,440.81
2023-12-05,443.53
2023-12-06,443.51
2023-12-07,444.60
2023-12-08,447.22
2023-12-11,448.94
2023-12-12,449.61
2023-12-13,451.78
2023-12-14,449.71
2023-12-15,453.69
2023-12-18,454.87
2023-12-19,454.73
2023-12-20,456.06
2023-12-21,451.64
2023-12-22,453.15
2023-12-27,450.63
2023-12-28,452.96
2023-12-29,451.28
2024-01-02,454.12
2024-01-03,452.89
2024-01-04,451.85
2024-01-05,450.42
2024-01-08,451.42
2024-01-09,455.98
2024-01-10,456.15
2024-01-11,454.88
2024-01-12,457.52
2024-01-15,457.83
2024-01-16,460.43
2024-01-17,458.59
2024-01-18,459.91
2024-01-19,462.69
2024-01-22,467.81
2024-01-23,469.15
2024-01-24,471.10
2024-01-25,473.83
2024-01-26,473.42
2024-01-29,475.14
2024-01-30,476.95
2024-01-31,472.44
2024-02-01,470.64
2024-02-02,481.22
2024-02-05,482.43
2024-02-06,483.02
2024-02-07,485.78
2024-02-08,486.59
2024-02-09,487.53
2024-02-12,491.69
2024-02-13,486.61
2024-02-14,486.84
2024-02-15,488.67
2024-02-16,490.24
2024-02-19,488.48
2024-02-20,483.01
2024-02-21,482.33
2024-02-22,492.30
2024-02-23,494.08
2024-02-26,492.16
2024-02-27,490.60
2024-02-28,491.86
2024-02-29,493.32
2024-03-01,496.17
2024-03-04,496.53
2024-03-05,492.22
2024-03-06,492.94
2024-03-07,494.74
2024-03-08,495.13
2024-03-11,492.11
2024-03-12,496.59
2024-03-13,496.41
2024-03-14,497.38
2024-03-15,493.51
2024-03-18,499.24
2024-03-19,499.95
2024-03-20,501.43
2024-03-21,509.06
2024-03-22,509.00
2024-03-25,507.16
2024-03-26,507.94
2024-03-27,507.77
2024-03-28,511.27
2024-04-02,507.72
2024-04-03,507.65
2024-04-04,507.89
2024-04-05,504.58
2024-04-08,504.95
2024-04-09,501.51
2024-04-10,505.06
2024-04-11,506.56
2024-04-12,509.38
2024-04-15,508.23
2024-04-16,500.68
2024-04-17,497.21
2024-04-18,498.22
2024-04-19,492.59
2024-04-22,492.41
2024-04-23,497.72
2024-04-24,498.60
2024-04-25,492.17
2024-04-26,501.97
2024-04-29,501.60
2024-04-30,500.37
2024-05-02,494.90
2024-05-03,499.85
2024-05-06,503.63
2024-05-07,507.42
2024-05-08,507.84
2024-05-09,508.65
2024-05-10,510.04
2024-05-13,509.52
2024-05-14,508.80
2024-05-15,512.59
2024-05-16,515.81
2024-05-17,513.27
2024-05-20,516.54
2024-05-21,515.66
2024-05-22,517.10
2024-05-23,517.52
2024-05-24,515.19
2024-05-27,515.55
2024-05-28,514.04
2024-05-29,513.85
2024-05-30,510.52
2024-05-31,506.00
2024-06-03,509.81
2024-06-04,509.84
2024-06-05,516.76
2024-06-06,518.54
2024-06-07,522.73
2024-06-10,525.04
2024-06-11,526.00
2024-06-12,528.35
2024-06-13,531.18
2024-06-14,534.23
2024-06-17,535.26
2024-06-18,537.90
2024-06-19,539.07
2024-06-20,540.94
2024-06-21,539.61
2024-06-24,539.00
2024-06-25,538.34
2024-06-26,539.34
2024-06-27,539.33
2024-06-28,541.66
2024-07-01,537.43
2024-07-02,538.77
2024-07-03,539.17
2024-07-04,539.91
2024-07-05,540.75
2024-07-08,542.57
2024-07-09,544.58
2024-07-10,545.54
2024-07-11,543.12
2024-07-12,545.15
2024-07-15,546.66
2024-07-16,547.76
2024-07-17,540.93
2024-07-18,537.65
2024-07-19,534.63
2024-07-22,536.69
2024-07-23,542.91
2024-07-24,531.62
2024-07-25,529.84
2024-07-26,529.60
2024-07-29,531.52
2024-07-30,530.84
2024-07-31,539.10
2024-08-01,535.71
2024-08-02,513.86
2024-08-05,502.43
2024-08-06,507.19
2024-08-07,513.08
2024-08-08,512.57
2024-08-09,514.97
2024-08-12,515.86
2024-08-13,520.76
2024-08-14,522.24
2024-08-16,532.09
2024-08-19,532.59
2024-08-20,532.12
2024-08-21,532.18
2024-08-22,533.18
2024-08-23,531.44
2024-08-26,531.38
2024-08-27,531.48
2024-08-28,530.85
2024-08-29,537.49
2024-08-30,534.79
2024-09-02,539.46
2024-09-03,533.68
2024-09-04,527.39
2024-09-05,523.42
2024-09-06,517.27
2024-09-09,522.55
2024-09-10,525.21
2024-09-11,521.56
2024-09-12,532.83
2024-09-13,536.98
2024-09-16,534.11
2024-09-17,538.03
2024-09-18,535.59
2024-09-19,542.12
2024-09-20,539.98
2024-09-23,543.41
2024-09-24,542.74
2024-09-25,543.31
2024-09-26,542.58
2024-09-27,544.86
2024-09-30,544.26
2024-10-01,545.49
2024-10-02,547.71
2024-10-03,547.84
2024-10-04,550.75
2024-10-07,552.87
2024-10-08,553.89
2024-10-09,558.51
2024-10-10,560.13
2024-10-11,561.63
2024-10-14,566.96
2024-10-15,567.15
2024-10-16,566.93
2024-10-17,572.34
2024-10-18,570.92
2024-10-21,569.87
2024-10-22,571.80
2024-10-23,570.09
2024-10-24,569.09
2024-10-25,571.57
2024-10-28,570.26
2024-10-29,571.34
2024-10-30,569.43
2024-10-31,558.58
2024-11-01,561.96
2024-11-04,556.07
2024-11-05,559.40
2024-11-06,582.13
2024-11-07,585.36
2024-11-08,591.76
2024-11-11,597.51
2024-11-12,597.72
2024-11-13,600.58
2024-11-14,598.83
2024-11-15,590.50
2024-11-18,591.82
2024-11-19,591.13
2024-11-20,591.70
2024-11-21,600.08
2024-11-22,606.88
2024-11-25,605.34
2024-11-26,607.63
2024-11-27,601.31
2024-11-28,604.10
2024-11-29,606.11
2024-12-02,610.97
2024-12-03,609.32
2024-12-04,611.23
2024-12-05,610.21
2024-12-06,610.62
2024-12-09,608.06
2024-12-10,610.65
2024-12-11,614.58
2024-12-12,613.68
2024-12-13,611.29
2024-12-16,613.00
2024-12-17,611.59
2024-12-18,613.72
2024-12-19,603.64
2024-12-20,605.87
2024-12-23,604.76
2024-12-27,606.77
2024-12-30,603.62
2025-01-02,610.34
2025-01-03,610.18
2025-01-06,613.99
2025-01-07,607.91
2025-01-08,608.26
2025-01-09,608.42
2025-01-10,602.94
2025-01-13,602.31
2025-01-14,601.20
2025-01-15,611.73
2025-01-16,612.55
2025-01-17,618.67
2025-01-20,614.41
2025-01-21,614.46
2025-01-22,620.97
2025-01-23,621.40
2025-01-24,617.59
2025-01-27,604.90
2025-01-28,614.32
2025-01-29,615.90
2025-01-30,615.42
2025-01-31,623.75
2025-02-03,618.15
2025-02-04,617.60
2025-02-05,614.22
2025-02-06,621.52
2025-02-07,620.83
2025-02-10,623.87
2025-02-11,621.91
2025-02-12,617.49
2025-02-13,619.16
2025-02-14,618.25
2025-02-17,620.78
2025-02-18,621.00
2025-02-19,625.17
2025-02-20,618.13
2025-02-21,618.31
2025-02-24,610.20
2025-02-25,598.63
2025-02-26,606.45
2025-02-27,608.50
2025-02-28,600.60
2025-03-03,600.91
2025-03-04,579.94
2025-03-05,567.24
2025-03-06,569.11
2025-03-07,557.30
2025-03-10,554.35
2025-03-11,542.26
2025-03-12,547.08
2025-03-13,542.11
2025-03-14,548.58
2025-03-17,549.67
2025-03-18,546.64
2025-03-19,553.11
2025-03-20,555.63
2025-03-21,554.63
2025-03-24,567.03
2025-03-25,567.00
2025-03-26,564.74
2025-03-27,562.72
2025-03-28,549.09
2025-03-31,546.26
2025-04-01,554.01
2025-04-02,554.37
2025-04-03,523.96
2025-04-04,501.64
2025-04-07,487.36
2025-04-08,503.79
2025-04-09,479.73
2025-04-10,498.98
2025-04-11,492.82
2025-04-14,506.24
2025-04-15,510.51
2025-04-16,502.00
2025-04-17,495.27
2025-04-22,488.35
2025-04-23,505.76
2025-04-24,510.11
2025-04-25,513.09
2025-04-28,513.32
2025-04-29,516.29
2025-04-30,517.30
2025-05-02,532.05
