date,close
2021-11-01,56.58
2021-11-02,56.64
2021-11-03,57.49
2021-11-04,58.06
2021-11-05,58.85
2021-11-08,59.18
2021-11-09,58.42
2021-11-10,58.60
2021-11-11,58.56
2021-11-12,58.74
2021-11-15,58.71
2021-11-16,58.92
2021-11-17,58.70
2021-11-18,58.15
2021-11-19,58.07
2021-11-22,58.58
2021-11-23,57.36
2021-11-24,58.07
2021-11-25,58.14
2021-11-26,54.69
2021-11-29,55.33
2021-11-30,54.46
2021-12-01,55.46
2021-12-02,54.07
2021-12-03,53.59
2021-12-06,54.26
2021-12-07,56.27
2021-12-08,56.03
2021-12-09,55.62
2021-12-10,54.43
2021-12-13,53.77
2021-12-14,53.81
2021-12-15,52.97
2021-12-16,54.35
2021-12-17,54.08
2021-12-20,52.10
2021-12-21,54.17
2021-12-22,54.53
2021-12-23,55.25
2021-12-27,55.51
2021-12-28,55.52
2021-12-29,55.30
2021-12-30,55.85
2022-01-03,55.92
2022-01-04,55.94
2022-01-05,55.75
2022-01-06,54.47
2022-01-07,54.00
2022-01-10,53.08
2022-01-11,53.49
2022-01-12,53.18
2022-01-13,53.39
2022-01-14,52.33
2022-01-17,53.10
2022-01-18,52.12
2022-01-19,51.11
2022-01-20,51.72
2022-01-21,50.36
2022-01-24,48.24
2022-01-25,49.29
2022-01-26,50.34
2022-01-27,49.26
2022-01-28,48.24
2022-01-31,49.65
2022-02-01,50.71
2022-02-02,49.97
2022-02-03,49.17
2022-02-04,48.24
2022-02-07,49.17
2022-02-08,49.76
2022-02-09,50.64
2022-02-10,50.82
2022-02-11,50.57
2022-02-14,50.52
2022-02-15,50.65
2022-02-16,50.87
2022-02-17,50.39
2022-02-18,49.67
2022-02-21,49.03
2022-02-22,49.28
2022-02-23,48.63
2022-02-24,48.59
2022-02-25,50.09
2022-02-28,51.22
2022-03-01,50.80
2022-03-02,51.65
2022-03-03,51.42
2022-03-04,51.00
2022-03-07,51.26
2022-03-08,50.41
2022-03-09,50.83
2022-03-10,50.43
2022-03-11,51.19
2022-03-14,49.88
2022-03-15,50.02
2022-03-16,51.30
2022-03-17,51.69
2022-03-18,52.41
2022-03-21,52.86
2022-03-22,52.74
2022-03-23,52.85
2022-03-24,52.47
2022-03-25,52.82
2022-03-28,52.64
2022-03-29,53.48
2022-03-30,53.23
2022-03-31,52.78
2022-04-01,52.92
2022-04-04,53.22
